ID,Date added,Description,URL,Topic,Domain,Long ID,Transition,Modeling,Related to Algebra Assessment Items (Column),"Related to Copy of ,Review of connections to Common Core High School Mathematics (Standards)","Related to Copy of ,Review of connections to Common Core High School Mathematics (Standards) 1",Related to Question <> Standard mapping (Standard),Related to Review of connections to Common Core High School Mathematics (Standard),Related to Review of connections to Common Core High School Mathematics (Standards),Related to SAT Crosswalk to CCSS (Files),Related to Sample CCSS standards mapping for project documentation  (Standards engaged),Related to Sample CCSS standards mapping for project documentation (Standards engaged),Related to Sample CCSS standards mapping for project documentation (Standards engaged) 1,Related to Sample CCSS standards mapping for project documentation (Standards engaged) 2,Related to Sample CCSS standards mapping for project documentation (Standards engaged) 3,Related to Sample CCSS standards mapping for project documentation (Standards engaged) 4,Related to Sample CCSS standards mapping for project documentation (Standards engaged) 5
HSN.CN.A.1,"Dec 30, 2019 10:57 PM","Know there is a complex number i such that i2 = -1, and every complex number has the form a + bi with a and b real.",http://www.corestandards.org/Math/Content/HSN/CN/A/1/,Number & Quantity,The Complex Number System,CCSS.Math.Content.HSN.CN.A.1,No,No,,,,,,,,,,,,,,
HSN.CN.A.2,"Dec 30, 2019 10:57 PM","Use the relation i2 = -1 and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers.",http://www.corestandards.org/Math/Content/HSN/CN/A/2/,Number & Quantity,The Complex Number System,CCSS.Math.Content.HSN.CN.A.2,No,No,,,,,,,,,,,,,,
HSN.CN.A.3,"Dec 30, 2019 10:57 PM",Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers.,http://www.corestandards.org/Math/Content/HSN/CN/A/3/,Number & Quantity,The Complex Number System,CCSS.Math.Content.HSN.CN.A.3,Yes,No,,,,,,,,,,,,,,
HSN.CN.B.4,"Dec 30, 2019 10:57 PM","Represent complex numbers on the complex plane in rectangular and polar form (including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number.",http://www.corestandards.org/Math/Content/HSN/CN/B/4/,Number & Quantity,The Complex Number System,CCSS.Math.Content.HSN.CN.B.4,Yes,No,,,,,,,,,,,,,,
HSN.CN.B.5,"Dec 30, 2019 10:57 PM","Represent addition, subtraction, multiplication, and conjugation of complex numbers geometrically on the complex plane; use properties of this representation for computation. For example, (-1 + √3 i)3 = 8 because (-1 + √3 i) has modulus 2 and argument 120°.",http://www.corestandards.org/Math/Content/HSN/CN/B/5/,Number & Quantity,The Complex Number System,CCSS.Math.Content.HSN.CN.B.5,Yes,No,,,,,,,,,,,,,,
HSN.CN.B.6,"Dec 30, 2019 10:57 PM","Calculate the distance between numbers in the complex plane as the modulus of the difference, and the midpoint of a segment as the average of the numbers at its endpoints.",http://www.corestandards.org/Math/Content/HSN/CN/B/6/,Number & Quantity,The Complex Number System,CCSS.Math.Content.HSN.CN.B.6,Yes,No,,,,,,,,,,,,,,
HSN.CN.C.7,"Dec 30, 2019 10:57 PM",Solve quadratic equations with real coefficients that have complex solutions.,http://www.corestandards.org/Math/Content/HSN/CN/C/7/,Number & Quantity,The Complex Number System,CCSS.Math.Content.HSN.CN.C.7,No,No,,,,,,,,,,,,,,
HSN.CN.C.8,"Dec 30, 2019 10:57 PM","Extend polynomial identities to the complex numbers. For example, rewrite x2 + 4 as (x + 2i)(x - 2i).",http://www.corestandards.org/Math/Content/HSN/CN/C/8/,Number & Quantity,The Complex Number System,CCSS.Math.Content.HSN.CN.C.8,Yes,No,,,,,,,,,,,,,,
HSN.CN.C.9,"Dec 30, 2019 10:57 PM",Know the Fundamental Theorem of Algebra; show that it is true for quadratic polynomials.,http://www.corestandards.org/Math/Content/HSN/CN/C/9/,Number & Quantity,The Complex Number System,CCSS.Math.Content.HSN.CN.C.9,Yes,No,,,,,,,,,,,,,,
HSN.Q.A.1,"Dec 30, 2019 10:57 PM",Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.,http://www.corestandards.org/Math/Content/HSN/Q/A/1/,Number & Quantity,Quantities,CCSS.Math.Content.HSN.Q.A.1,No,No,https://www.notion.so/HSN-Q-A-5c80e065dfc944f987390bcc467493c9,https://www.notion.so/Translating-local-angle-measurements-and-increments-into-an-absolute-measure-of-direction-on-a-plane-a3ce0bc00dad48649738204d80930548,https://www.notion.so/Translating-local-angle-measurements-and-increments-into-an-absolute-measure-of-direction-on-a-plane-f3e02288269c44969dde262cfbd727d3,,https://www.notion.so/In-calibrating-gravity-defining-the-strength-of-the-spring-974169c3a9ce4bbd976d0cff49561862,https://www.notion.so/In-choosing-and-how-to-initialize-the-ball-and-calibrating-relative-velocity-b7a247e9c25d4a67be983c8674b888ad,,,,,,,,
