"ID","Description","URL","Topic","Domain","Long ID","Transition","Modeling"
"HSN.CN.A.1","Know there is a complex number i such that i2 = -1, and every complex number has the form a + bi with a and b real.","http://www.corestandards.org/Math/Content/HSN/CN/A/1/","Number & Quantity","The Complex Number System","CCSS.Math.Content.HSN.CN.A.1",false,false
"HSN.CN.A.2","Use the relation i2 = -1 and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers.","http://www.corestandards.org/Math/Content/HSN/CN/A/2/","Number & Quantity","The Complex Number System","CCSS.Math.Content.HSN.CN.A.2",false,false
"HSN.CN.A.3","Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers.","http://www.corestandards.org/Math/Content/HSN/CN/A/3/","Number & Quantity","The Complex Number System","CCSS.Math.Content.HSN.CN.A.3",true,false
"HSN.CN.B.4","Represent complex numbers on the complex plane in rectangular and polar form (including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number.","http://www.corestandards.org/Math/Content/HSN/CN/B/4/","Number & Quantity","The Complex Number System","CCSS.Math.Content.HSN.CN.B.4",true,false
"HSN.CN.B.5","Represent addition, subtraction, multiplication, and conjugation of complex numbers geometrically on the complex plane; use properties of this representation for computation. For example, (-1 + âˆš3 i)3 = 8 because (-1 + âˆš3 i) has modulus 2 and argument 120Â°.","http://www.corestandards.org/Math/Content/HSN/CN/B/5/","Number & Quantity","The Complex Number System","CCSS.Math.Content.HSN.CN.B.5",true,false
"HSN.CN.B.6","Calculate the distance between numbers in the complex plane as the modulus of the difference, and the midpoint of a segment as the average of the numbers at its endpoints.","http://www.corestandards.org/Math/Content/HSN/CN/B/6/","Number & Quantity","The Complex Number System","CCSS.Math.Content.HSN.CN.B.6",true,false
"HSN.CN.C.7","Solve quadratic equations with real coefficients that have complex solutions.","http://www.corestandards.org/Math/Content/HSN/CN/C/7/","Number & Quantity","The Complex Number System","CCSS.Math.Content.HSN.CN.C.7",false,false
"HSN.CN.C.8","Extend polynomial identities to the complex numbers. For example, rewrite x2 + 4 as (x + 2i)(x - 2i).","http://www.corestandards.org/Math/Content/HSN/CN/C/8/","Number & Quantity","The Complex Number System","CCSS.Math.Content.HSN.CN.C.8",true,false
"HSN.CN.C.9","Know the Fundamental Theorem of Algebra; show that it is true for quadratic polynomials.","http://www.corestandards.org/Math/Content/HSN/CN/C/9/","Number & Quantity","The Complex Number System","CCSS.Math.Content.HSN.CN.C.9",true,false
"HSN.Q.A.1","Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.","http://www.corestandards.org/Math/Content/HSN/Q/A/1/","Number & Quantity","Quantities","CCSS.Math.Content.HSN.Q.A.1",false,false
